id,observation url,image file,scientific name,common name,no. of identification agreements,no. of identification disagreements,help identify?,group,habitat,observed on,location title,location scale,longitude,latitude,Geoprivacy enabled,notes,tags,post to user groups,user name,user,created on,updated on
1723444,http://indiabiodiversity.org/observation/show/1723444,http://indiabiodiversity.org/biodiv/observations/abf59238-6319-4dd9-bd0f-cd391dadab32/452.jpg,Papilio paris,Paris Peacock,3,0,NO,Arthropods,Urban,24/04/2016,"Manas National Park, Barpeta, Assam 781315, India",Approximate,91.020324707,26.7459926605,false,                        ,,"Northeast India Biodiversity, ButterflyIndia",Brojo Kumar Basumatary,http://indiabiodiversity.org/user/show/4523,28/04/2016,05/05/2016
1723270,http://indiabiodiversity.org/observation/show/1723270,http://indiabiodiversity.org/biodiv/observations/52665528-b47e-4a61-ac62-482663ed9369/603.JPG,Papilio clytia,Common Mime,3,0,NO,Arthropods,All,06/02/2016,"PTP Nagar, Trivandrum, Kerala, India",Approximate,76.9542236328,8.4813919067,false,,"butterfly, common mime",ButterflyIndia,Shail Mohan,http://indiabiodiversity.org/user/show/4333,25/04/2016,05/05/2016
1722847,http://indiabiodiversity.org/observation/show/1722847,http://indiabiodiversity.org/biodiv/observations/ca133ee5-bb05-4f4a-905b-7e4c43093371/892.jpg,Papilio krishna,,5,1,NO,Others,All,20/04/2016,"Lebong Cart Rd, Jawahar Parbat, Darjeeling, West Bengal 734104, India",Approximate,88.2569198608,27.0600204468,false,,,"Northeast India Biodiversity, ButterflyIndia",PALDEN TAMANG,http://indiabiodiversity.org/user/show/9400,21/04/2016,04/05/2016
1723596,http://indiabiodiversity.org/observation/show/1723596,http://indiabiodiversity.org/biodiv/observations/6fe78696-d3e8-45f4-aec1-55244997695c/490.JPG,Lamproptera curius,White Dragontail Butterfly,2,0,NO,Arthropods,Forest,08/04/2016,"Dehing Patkai Wildlife Sanctuary, Tinsukia, Assam",Approximate,95.5220031738,27.2179985046,false,,,"Northeast India Biodiversity, ButterflyIndia",Albin Abraham Jacob,http://indiabiodiversity.org/user/show/4081,30/04/2016,04/05/2016
1723214,http://indiabiodiversity.org/observation/show/1723214,http://indiabiodiversity.org/biodiv/observations/b433a679-a047-4b34-9d6d-88b4caca4e79/705.jpg,Papilio clytia,Common Mime,3,0,NO,Arthropods,Forest,17/09/2015,"Madikeri, Karnataka 571201, India",Accurate,75.7381820679,12.4244203568,false,,,"The Western Ghats, ButterflyIndia",Manoj,http://indiabiodiversity.org/user/show/5567,25/04/2016,04/05/2016
1722257,http://indiabiodiversity.org/observation/show/1722257,"http://indiabiodiversity.org/biodiv/observations/4cebfc52-9014-4b11-9c6e-5448c74fa0dc/453.jpg, http://indiabiodiversity.org/biodiv/observations/4cebfc52-9014-4b11-9c6e-5448c74fa0dc/500.jpg",Papilio polytes,Common Mormon,1,0,NO,Arthropods,All,04/04/2016,"St Marys HS Rd, Vettipuram, Pathanamthitta, Kerala 689645, India",Approximate,76.7823867798,9.2700834274,false,Caterpillar,,,Siyad A Karim,http://indiabiodiversity.org/user/show/9320,07/04/2016,14/04/2016
1722196,http://indiabiodiversity.org/observation/show/1722196,http://indiabiodiversity.org/biodiv/observations/055cef1f-5525-4ecb-ac46-01d3cc0f8412/692.JPG,Papilio epycides,Lesser Mime,2,0,NO,Arthropods,Others,03/04/2016,"Rani Khola, Gangtok, Sikkim, India",Approximate,88.588104248,27.3161182404,false,,,"Northeast India Biodiversity, ButterflyIndia",Sailendra Dewan,http://indiabiodiversity.org/user/show/6962,06/04/2016,12/04/2016
1707753,http://indiabiodiversity.org/observation/show/1707753,"http://indiabiodiversity.org/biodiv/observations/c9c647e9-f602-405a-933d-fc58619d8ee5/584.JPG, http://indiabiodiversity.org/biodiv/observations/c9c647e9-f602-405a-933d-fc58619d8ee5/265.JPG",Lamproptera,,1,0,NO,Arthropods,Forest,08/08/0015,Namdapha National Park,Approximate,96.5,27.4899997711,false,,,Northeast India Biodiversity,Atum Rumdo,http://indiabiodiversity.org/user/show/9156,09/03/2016,10/04/2016
1707764,http://indiabiodiversity.org/observation/show/1707764,"http://indiabiodiversity.org/biodiv/observations/16419a06-0147-4890-91a5-3959d5eeb6f0/614.JPG, http://indiabiodiversity.org/biodiv/observations/16419a06-0147-4890-91a5-3959d5eeb6f0/634.JPG, http://indiabiodiversity.org/biodiv/observations/16419a06-0147-4890-91a5-3959d5eeb6f0/644.JPG, http://indiabiodiversity.org/biodiv/observations/16419a06-0147-4890-91a5-3959d5eeb6f0/955.JPG",Graphium antiphates,,1,0,NO,Arthropods,Forest,23/08/2015,Namdapha National Park,Approximate,96.5,27.4899997711,false,,,Northeast India Biodiversity,Atum Rumdo,http://indiabiodiversity.org/user/show/9156,09/03/2016,10/04/2016
1722297,http://indiabiodiversity.org/observation/show/1722297,http://indiabiodiversity.org/biodiv/observations/565fee7d-2766-4599-b337-291e23717390/555.JPG,Papilio polytes,Common Mormon,1,0,NO,All,All,29/12/2015,"Madiwala, Stage 1, BTM Layout, Bengaluru, Karnataka 560068, India",Accurate,77.6174468994,12.9226369858,false,"<p>	The male has one morph only. It is a dark-colored swallow-tailed butterfly. The female of the Common Mormon is polymorphic.&nbsp;<span style=""color: rgb(37, 37, 37); font-family: sans-serif; font-size: 14px; line-height: 22.4px;"">&nbsp;</span>In South Asia, it has three forms or morphs - Romulus, Stichius and Cyrus.</p>",common mormon,,Akhila Machaiah,http://indiabiodiversity.org/user/show/9340,09/04/2016,09/04/2016
